编号,附注信息
"2B-23,2B-24,2B-25,2B-26,2B-27,2B-28,2B-29",未包括撑杆、圆木、连接铁件及螺栓。
"2B-34,2B-35,2B-36,2B-37,2B-38,2B-39",未包括横担、绝缘子、连接铁件及螺栓。
"2B-52,2B-53,2B-54,2B-55,2B-56,2B-57,2B-58,2B-59,2B-60,2B-61,2B-62,2B-63",未包括金具、绝缘子。
"2B-9,2B-10,2B-11,2B-12,2B-13,2B-14,2B-15",未包括电杆、地横木。
"2B-16,2B-17,2B-18,2B-19,2B-20,2B-21,2B-22",未包括木电杆、水泥接腿杆、地横木、圆木、连接铁件及螺栓。
"2B-46,2B-47,2B-48,2B-49,2B-50,2B-51",未包括拉线、金具、抱箍。
"2B-30,2B-31,2B-32,2B-33",".1.双杆横担安装,人工、材料消耗量乘以系数2.0。2.未包括横担、绝缘子、连接铁件及螺栓。"
"2B-40,2B-41,2B-42,2B-43,2B-44,2B-45",未包括横担、绝缘子、防水弯头、支撑铁件及螺栓。
"2B-87,2B-88,2B-89,2B-90",未包括支架制作、安装。
"2B-84,2B-85,2B-86",太阳能灯具成套产品包括:灯杆、基础架、螺母、垫片、太阳能板、太阳能板支架(含坚固螺丝)、蓄电池、蓄电池箱、控制器、电源线、控制线等。
"2B-67,2B-68,2B-69,2B-70",未包括绝缘子。
